timestamp_utc,speed_km_s,density_p_cm3,bz_nT,bt_nT,academic_unbounded_stress,imperial_chi_regulated,boundary_status
2026-03-19 17:14:00.000,336.7,0.95,0.4,4.83,0.1077,0.0054,BELOW
2026-03-19 18:23:00.000,334.4,1.31,2.37,5.04,0.1465,0.0073,BELOW
2026-03-19 18:48:00.000,326.2,0.74,3.12,4.8,0.0787,0.0039,BELOW
2026-03-19 19:46:00.000,360.2,0.78,2.76,3.67,0.1012,0.0051,BELOW
2026-03-19 20:14:00.000,358.1,1.13,3.01,4.05,0.1449,0.0072,BELOW
2026-03-19 20:45:00.000,355.3,1.23,3.81,4.26,0.1553,0.0078,BELOW
2026-03-19 21:14:00.000,350.4,1.67,4.0,4.6,0.205,0.0103,BELOW
2026-03-19 21:44:00.000,348.4,1.75,3.96,4.39,0.2124,0.0106,BELOW
2026-03-19 22:08:00.000,345.9,1.43,3.93,4.61,0.1711,0.0086,BELOW
2026-03-19 22:25:00.000,344.6,1.4,4.19,4.61,0.1662,0.0083,BELOW
2026-03-19 22:44:00.000,343.1,0.97,4.41,4.74,0.1142,0.0057,BELOW
2026-03-19 23:11:00.000,360.2,0.79,2.56,3.85,0.1025,0.0051,BELOW
2026-03-19 23:28:00.000,333.0,1.41,2.0,4.8,0.1564,0.0078,BELOW
2026-03-19 23:53:00.000,350.5,2.37,3.69,4.78,0.2912,0.0146,BELOW
2026-03-20 00:40:00.000,328.2,1.14,-0.37,4.97,0.1228,0.0061,BELOW
2026-03-20 01:15:00.000,330.2,1.28,-0.02,5.08,0.1396,0.007,BELOW
2026-03-20 02:18:00.000,376.0,6.54,5.37,7.98,0.9246,0.0462,BELOW
2026-03-20 03:21:00.000,399.3,11.93,-2.06,11.36,1.9021,0.0951,BELOW
2026-03-20 04:16:00.000,423.8,10.4,3.36,11.81,1.8679,0.0934,BELOW
2026-03-20 05:01:00.000,440.3,1.61,-9.5,12.91,0.3121,0.0156,BELOW
2026-03-20 05:36:00.000,431.9,13.13,4.96,10.23,2.4492,0.1225,BELOW
2026-03-20 06:03:00.000,422.9,5.49,8.03,12.89,0.9819,0.0491,BELOW
2026-03-20 06:31:00.000,452.2,12.88,9.47,10.56,2.6338,0.1317,BELOW
2026-03-20 07:06:00.000,441.4,11.83,8.5,13.15,2.3049,0.1152,BELOW
2026-03-20 07:31:00.000,438.6,8.34,-1.48,14.61,1.6044,0.0802,BELOW
2026-03-20 07:57:00.000,420.3,10.68,12.21,12.26,1.8866,0.0943,BELOW
2026-03-20 09:17:00.000,457.0,17.48,11.59,12.03,3.6507,0.15,AT_BOUNDARY
2026-03-20 09:46:00.000,464.6,13.68,12.76,14.28,2.9529,0.1476,BELOW
2026-03-20 10:16:00.000,449.5,14.19,13.8,16.66,2.8671,0.1434,BELOW
2026-03-20 11:13:00.000,449.1,0.43,-0.3,18.35,0.0867,0.0043,BELOW
2026-03-20 12:48:00.000,445.4,3.29,15.28,18.16,0.6527,0.0326,BELOW
2026-03-20 13:29:00.000,465.4,0.04,18.3,19.06,0.0087,0.0004,BELOW
2026-03-20 14:04:00.000,475.5,0.14,15.66,19.94,0.0317,0.0016,BELOW
2026-03-20 15:01:00.000,466.7,4.04,5.75,16.58,0.8799,0.044,BELOW
2026-03-20 15:57:00.000,468.8,5.47,9.92,19.5,1.2022,0.0601,BELOW
2026-03-20 16:25:00.000,468.4,6.35,8.11,19.19,1.3932,0.0697,BELOW
