2026-06-24T13:56:27.376808+00:00,0.1007,-2.91,13.04,479.1,COMPLIANT
2026-06-24T14:58:37.937887+00:00,0.0019,0.06,11.32,476.4,COMPLIANT
2026-06-24T15:52:40.508560+00:00,0.0832,-2.53,11.89,476.9,COMPLIANT
2026-06-24T16:39:54.650806+00:00,0.0212,-0.62,12.97,475.6,COMPLIANT
2026-06-24T17:26:31.404556+00:00,0.0422,-1.00,17.36,507.0,COMPLIANT
2026-06-24T18:55:55.325315+00:00,0.1665,-3.52,22.59,497.5,FRACTURE
2026-06-24T19:37:07.008513+00:00,0.0637,-1.32,21.53,520.2,COMPLIANT
2026-06-24T20:19:52.646042+00:00,0.5739,-10.39,24.25,560.8,FRACTURE
2026-06-24T21:00:25.283251+00:00,0.1321,2.75,16.70,587.7,COMPLIANT
2026-06-24T21:39:14.526166+00:00,0.0837,-1.61,19.58,587.3,COMPLIANT
2026-06-24T22:10:15.950681+00:00,0.0236,-0.46,18.40,596.9,COMPLIANT
2026-06-24T23:13:55.448200+00:00,0.0342,-3.77,0.55,611.9,COMPLIANT
2026-06-24T23:45:02.507601+00:00,0.0968,-1.88,17.15,621.4,COMPLIANT
2026-06-25T00:17:00.651990+00:00,0.0678,1.27,18.00,629.2,COMPLIANT
2026-06-25T02:15:20.848836+00:00,0.074,-8.13,0.92,474.4,COMPLIANT
2026-06-25T03:33:15.986693+00:00,0.0088,1.27,0.34,592.4,COMPLIANT
2026-06-25T05:00:52.026865+00:00,0.0416,-2.77,2.44,480.9,COMPLIANT
2026-06-25T06:30:21.223538+00:00,0.0416,-2.77,2.44,480.9,COMPLIANT
2026-06-25T07:53:35.800496+00:00,0.0416,-2.77,2.44,480.9,COMPLIANT
2026-06-25T09:01:25.417052+00:00,0.0416,-2.77,2.44,480.9,COMPLIANT
2026-06-25T10:13:07.498306+00:00,0.0146,-1.55,1.01,469.0,COMPLIANT
2026-06-25T11:15:18.986919+00:00,0.0036,0.40,0.99,457.5,COMPLIANT
2026-06-25T12:08:24.711950+00:00,0.036,-2.96,1.69,467.5,COMPLIANT
2026-06-25T13:04:52.916037+00:00,0.0267,-2.27,1.65,457.0,COMPLIANT
2026-06-25T13:53:00.806339+00:00,0.0413,3.45,1.67,463.2,COMPLIANT
2026-06-25T14:54:43.102726+00:00,0.0596,5.41,1.45,457.1,COMPLIANT
2026-06-25T15:52:53.855748+00:00,0.0385,-3.73,1.29,454.4,COMPLIANT
2026-06-25T16:42:24.707238+00:00,0.0297,-2.81,1.34,456.5,COMPLIANT
2026-06-25T17:29:39.577577+00:00,0.0258,-2.49,1.27,459.3,COMPLIANT
2026-06-25T18:22:09.441553+00:00,0.0338,-3.43,1.13,463.7,COMPLIANT
2026-06-25T19:10:45.852531+00:00,0.0324,3.37,1.10,457.8,COMPLIANT
2026-06-25T19:57:06.958113+00:00,0.0239,-2.56,1.05,455.6,COMPLIANT
2026-06-25T20:48:43.375063+00:00,0.0422,-3.94,1.46,443.3,COMPLIANT
2026-06-25T21:24:36.944103+00:00,0.0002,-0.02,1.13,462.7,COMPLIANT
2026-06-25T22:02:17.030910+00:00,0.014,-1.22,1.65,446.0,COMPLIANT
2026-06-25T23:12:13.681745+00:00,0.0376,-3.45,1.43,455.3,COMPLIANT
2026-06-25T23:48:36.309200+00:00,0.0013,0.13,1.34,446.2,COMPLIANT
2026-06-26T00:20:24.649131+00:00,0.0014,0.14,1.27,448.9,COMPLIANT
2026-06-26T01:25:38.623087+00:00,0.0105,0.99,1.36,456.0,COMPLIANT
2026-06-26T02:23:17.025239+00:00,0.0031,-0.34,0.92,478.7,COMPLIANT
2026-06-26T03:44:52.839586+00:00,0.0388,-3.65,1.36,455.4,COMPLIANT
2026-06-26T05:16:05.261849+00:00,0.0201,2.49,0.76,464.1,COMPLIANT
2026-06-26T06:40:14.046137+00:00,0.0193,2.92,0.38,535.2,COMPLIANT
2026-06-26T08:03:26.020034+00:00,0.0171,2.68,0.29,592.7,COMPLIANT
2026-06-26T09:20:45.614025+00:00,0.0084,1.26,0.39,533.7,COMPLIANT
2026-06-26T10:31:36.983411+00:00,0.0013,-0.20,0.34,543.7,COMPLIANT
2026-06-26T11:34:02.430720+00:00,0.009,1.53,0.26,576.8,COMPLIANT
2026-06-26T12:25:47.804548+00:00,0.016,-3.07,0.22,555.9,COMPLIANT
2026-06-26T13:17:15.252938+00:00,0.0166,2.43,0.56,457.7,COMPLIANT
2026-06-26T14:07:37.849949+00:00,0.0244,-3.21,0.54,518.2,COMPLIANT
2026-06-26T15:08:27.831718+00:00,0.022,-3.20,0.39,551.1,COMPLIANT
2026-06-26T16:00:56.567758+00:00,0.016,1.60,1.09,478.2,COMPLIANT
2026-06-26T16:50:59.806466+00:00,0.0007,-0.09,0.67,459.4,COMPLIANT
2026-06-26T17:28:51.932062+00:00,0.0186,-2.85,0.39,522.2,COMPLIANT
2026-06-26T18:09:49.919943+00:00,0.0263,-3.00,0.80,491.0,COMPLIANT
2026-06-26T18:54:27.348594+00:00,0.0066,1.02,0.31,580.9,COMPLIANT
2026-06-26T19:33:59.228110+00:00,0.0203,-2.99,0.34,583.2,COMPLIANT
2026-06-26T20:17:22.053754+00:00,0.0275,-3.18,0.68,523.6,COMPLIANT
2026-06-26T20:57:07.341202+00:00,0.0131,-2.14,0.33,531.4,COMPLIANT
2026-06-26T21:37:01.795008+00:00,0.0112,-2.07,0.17,655.5,COMPLIANT
2026-06-26T22:06:45.332185+00:00,0.0023,0.27,0.75,496.2,COMPLIANT
2026-06-26T22:39:54.095793+00:00,0.0076,-0.92,0.71,487.6,COMPLIANT
2026-06-26T23:08:53.259294+00:00,0.0003,0.04,0.41,562.8,COMPLIANT
2026-06-26T23:40:27.537633+00:00,0.0126,1.47,0.70,511.0,COMPLIANT
2026-06-27T00:10:27.098337+00:00,0.0035,-0.46,0.47,557.9,COMPLIANT
2026-06-27T01:17:24.877206+00:00,0.0187,-1.65,1.26,503.7,COMPLIANT
2026-06-27T02:08:07.675708+00:00,0.016,-1.35,1.42,498.3,COMPLIANT
2026-06-27T03:22:23.393144+00:00,0.0121,1.09,1.30,486.4,COMPLIANT
2026-06-27T04:45:14.931929+00:00,0.0015,-0.28,0.19,617.3,COMPLIANT
2026-06-27T06:06:01.052694+00:00,0.0066,0.87,0.44,570.4,COMPLIANT
2026-06-27T07:21:41.657048+00:00,0.0243,1.21,3.32,550.1,COMPLIANT
2026-06-27T08:19:10.456494+00:00,0.0038,0.39,0.73,569.9,COMPLIANT
2026-06-27T09:17:04.632859+00:00,0.0142,1.62,0.55,592.6,COMPLIANT
2026-06-27T10:06:03.978933+00:00,0.0013,0.10,1.46,545.4,COMPLIANT
2026-06-27T10:51:29.473805+00:00,0.0148,2.10,0.39,564.1,COMPLIANT
2026-06-27T11:27:20.738978+00:00,0.0149,0.41,10.98,548.1,COMPLIANT
2026-06-27T13:16:20.930427+00:00,0.0023,-0.20,1.09,555.9,COMPLIANT
2026-06-27T14:02:26.234724+00:00,0.0039,-0.39,0.85,544.9,COMPLIANT
2026-06-27T14:43:24.565191+00:00,0.075,2.06,10.92,550.9,COMPLIANT
2026-06-27T15:15:22.849197+00:00,0.03,2.11,1.75,537.5,COMPLIANT
2026-06-27T15:48:54.412856+00:00,0.0131,0.95,1.72,527.7,COMPLIANT
2026-06-27T16:46:00.734659+00:00,0.0156,-0.91,2.70,523.0,COMPLIANT
2026-06-27T17:17:53.446527+00:00,0.0246,-1.36,3.04,518.8,COMPLIANT
2026-06-27T17:45:04.740112+00:00,0.0288,-1.59,3.00,522.9,COMPLIANT
