mode_hours,mode_seconds,ratio_to_Tci,log2_ratio,nearest_power,power_of_2,error_percent,binary_match
6,21600,2304.2972078650514,11.170111092006474,11,2048,12.514512102785712,True
12,43200,4608.594415730103,12.170111092006474,12,4096,12.514512102785712,True
18,64800,6912.891623595154,12.75507359272763,13,8192,15.61411592291072,False
24,86400,9217.188831460206,13.170111092006474,13,8192,12.514512102785712,True
30,108000,11521.486039325257,13.492039186893836,13,8192,40.64314012848214,False
36,129600,13825.783247190308,13.75507359272763,14,16384,15.61411592291072,False
42,151200,16130.080455055358,13.977466014064078,14,16384,1.5498019100625093,True
48,172800,18434.37766292041,14.170111092006474,14,16384,12.514512102785712,True
54,194400,20738.67487078546,14.340036093448786,14,16384,26.578826115633913,False
60,216000,23042.972078650513,14.492039186893836,14,16384,40.64314012848214,False
66,237600,25347.269286515562,14.62954271064377,15,32768,22.64627292933483,False
72,259200,27651.566494380615,14.75507359272763,15,32768,15.61411592291072,False
